Entity,Score
tqdm/_tqdm.py::format_meter::252::451,0.9813874788494078
tqdm/_tqdm.py::__init__::702::932,0.9634551495016612
tqdm/_utils.py::_is_utf::145::156,0.5686274509803921
tqdm/_monitor.py::__init__::32::48,0.5686274509803921
tqdm/_utils.py::_supports_unicode::159::163,0.5566218809980806
tqdm/_tqdm.py::__repr__::965::966,0.5508072174738842
tqdm/_tqdm.py::format_dict::950::963,0.5508072174738842
tqdm/_tqdm.py::__new__::453::473,0.5508072174738842
tqdm/_tqdm.py::status_printer::229::250,0.5508072174738842
tqdm/_tqdm.py::print_status::245::248,0.5508072174738842
tqdm/_tqdm.py::fp_write::239::241,0.5508072174738842
tqdm/_tqdm.py::display::1283::1299,0.5508072174738842
tqdm/_monitor.py::run::62::96,0.5451127819548872
tqdm/_tqdm.py::__enter__::97::98,0.5287146763901549
tqdm/_tqdm.py::release::93::95,0.5287146763901549
tqdm/_tqdm.py::acquire::89::91,0.5287146763901549
tqdm/_tqdm.py::__exit__::100::101,0.5287146763901549
tqdm/_tqdm.py::__hash__::972::973,0.5183199285075961
tqdm/_tqdm.py::get_lock::556::561,0.5183199285075961
tqdm/_tqdm.py::_get_free_pos::475::480,0.5183199285075961
tqdm/_utils.py::_term_move_up::236::237,0.0
tqdm/_utils.py::_environ_cols_linux::218::233,0.0
tqdm/_utils.py::_environ_cols_wrapper::166::178,0.0
tqdm/_utils.py::__ge__::141::142,0.0
tqdm/_utils.py::__gt__::138::139,0.0
tqdm/_utils.py::__ne__::135::136,0.0
tqdm/_utils.py::__eq__::132::133,0.0
tqdm/_utils.py::__le__::129::130,0.0
tqdm/_utils.py::__lt__::126::127,0.0
tqdm/_tqdm.py::__iter__::975::1058,0.0
tqdm/_tqdm.py::_comparable::968::970,0.0
tqdm/_tqdm.py::__del__::947::948,0.0
tqdm/_tqdm.py::__exit__::943::945,0.0
tqdm/_tqdm.py::__enter__::940::941,0.0
tqdm/_tqdm.py::__len__::934::938,0.0
tqdm/_tqdm.py::__init__::81::87,0.0
tqdm/_tqdm.py::set_lock::551::554,0.0
tqdm/_tqdm.py::external_write_mode::523::549,0.0
tqdm/_tqdm.py::__init__::49::54,0.0
tqdm/_tqdm.py::write::512::521,0.0
tqdm/_tqdm.py::_decr_instances::482::510,0.0
tqdm/_tqdm.py::ema::210::227,0.0
tqdm/_tqdm.py::format_num::191::208,0.0
tqdm/_tqdm.py::format_interval::169::189,0.0
tqdm/_tqdm.py::format_sizeof::139::167,0.0
tqdm/_tqdm.py::trange::1302::1307,0.0
tqdm/_tqdm.py::refresh::1270::1281,0.0
tqdm/_tqdm.py::clear::1254::1268,0.0
tqdm/_tqdm.py::moveto::1249::1252,0.0
tqdm/_tqdm.py::set_postfix_str::1241::1247,0.0
tqdm/_tqdm.py::set_postfix::1210::1239,0.0
tqdm/_tqdm.py::set_description_str::1202::1208,0.0
tqdm/_tqdm.py::set_description::1188::1200,0.0
tqdm/_tqdm.py::unpause::1180::1186,0.0
tqdm/_tqdm.py::close::1136::1178,0.0
tqdm/_tqdm.py::fp_write::1155::1156,0.0
tqdm/_tqdm.py::create_th_lock::113::119,0.0
tqdm/_tqdm.py::update::1060::1134,0.0
tqdm/_tqdm.py::create_mp_lock::103::111,0.0
tqdm/_monitor.py::report::98::99,0.0
tqdm/_monitor.py::get_instances::56::60,0.0
tqdm/_monitor.py::exit::50::54,0.0
